time,aoi,measurement,indicatorValue,referenceTime,dataProvider,eoSensor,colorCode,inputData
"2019-04-07T10:30:00.000Z","LatLng(39.586, -122.4)","0.315892","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2019-04-15T10:30:00.000Z","LatLng(39.586, -122.4)","0.279366","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2019-04-23T10:30:00.000Z","LatLng(39.586, -122.4)","0.239118","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2019-05-01T10:30:00.000Z","LatLng(39.586, -122.4)","0.1954052","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2019-05-09T10:30:00.000Z","LatLng(39.586, -122.4)","0.2000828","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2019-05-17T10:30:00.000Z","LatLng(39.586, -122.4)","0.1627542","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2019-05-25T10:30:00.000Z","LatLng(39.586, -122.4)","0.1864635","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2019-06-02T10:30:00.000Z","LatLng(39.586, -122.4)","0.32376042","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2019-06-10T10:30:00.000Z","LatLng(39.586, -122.4)","0.390378929","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2019-06-18T10:30:00.000Z","LatLng(39.586, -122.4)","0.521736054","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2019-06-26T10:30:00.000Z","LatLng(39.586, -122.4)","0.690178662","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2019-07-04T10:30:00.000Z","LatLng(39.586, -122.4)","0.761247562","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2019-07-12T10:30:00.000Z","LatLng(39.586, -122.4)","0.813952206","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2019-07-20T10:30:00.000Z","LatLng(39.586, -122.4)","0.837088441","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2019-07-28T10:30:00.000Z","LatLng(39.586, -122.4)","0.854403438","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2019-08-05T10:30:00.000Z","LatLng(39.586, -122.4)","0.860155282","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2019-08-13T10:30:00.000Z","LatLng(39.586, -122.4)","0.847683547","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2019-08-21T10:30:00.000Z","LatLng(39.586, -122.4)","0.829228983","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2019-08-29T10:30:00.000Z","LatLng(39.586, -122.4)","0.808154074","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2019-09-06T10:30:00.000Z","LatLng(39.586, -122.4)","0.781669695","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2019-09-14T10:30:00.000Z","LatLng(39.586, -122.4)","0.756962769","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2019-09-22T10:30:00.000Z","LatLng(39.586, -122.4)","0.72106353","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2019-09-30T10:30:00.000Z","LatLng(39.586, -122.4)","0.670632474","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2019-10-08T10:30:00.000Z","LatLng(39.586, -122.4)","0.569767272","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2019-10-16T10:30:00.000Z","LatLng(39.586, -122.4)","0.390023604","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2019-10-24T10:30:00.000Z","LatLng(39.586, -122.4)","0.256592125","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2020-03-05T10:30:00.000Z","LatLng(39.586, -122.4)","0.27071","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2020-03-13T10:30:00.000Z","LatLng(39.586, -122.4)","0.2653318","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2020-03-21T10:30:00.000Z","LatLng(39.586, -122.4)","0.2456763","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2020-03-29T10:30:00.000Z","LatLng(39.586, -122.4)","0.2372042","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2020-04-06T10:30:00.000Z","LatLng(39.586, -122.4)","0.2309215","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
