time,aoi,measurement,indicatorValue,referenceTime,dataProvider,eoSensor,colorCode,inputData
"2013-10-10T03:47:34.000Z","LatLng(39.48284, -122.06557)","0.22788309899999998","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2013-10-17T03:53:19.000Z","LatLng(39.48284, -122.06557)","0.223424168","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2013-10-17T03:53:42.000Z","LatLng(39.48284, -122.06557)","0.221551175","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2013-10-26T03:47:25.000Z","LatLng(39.48284, -122.06557)","-0.176787475","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2013-11-02T03:53:12.000Z","LatLng(39.48284, -122.06557)","-0.294446677","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2013-11-02T03:53:35.000Z","LatLng(39.48284, -122.06557)","-0.26011561699999997","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2013-11-11T03:47:25.000Z","LatLng(39.48284, -122.06557)","-0.25693765399999996","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2013-11-18T03:53:07.000Z","LatLng(39.48284, -122.06557)","-0.25986645199999997","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2013-11-18T03:53:31.000Z","LatLng(39.48284, -122.06557)","-0.246814828","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2013-11-27T03:47:17.000Z","LatLng(39.48284, -122.06557)","NaN","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2013-12-04T03:53:05.000Z","LatLng(39.48284, -122.06557)","-0.102411191","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2013-12-04T03:53:29.000Z","LatLng(39.48284, -122.06557)","-0.090327336","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2013-12-13T03:47:15.000Z","LatLng(39.48284, -122.06557)","-0.314596621","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2013-12-20T03:52:55.000Z","LatLng(39.48284, -122.06557)","-0.15576695699999998","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2013-12-20T03:53:19.000Z","LatLng(39.48284, -122.06557)","-0.159250589","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2013-12-29T03:47:06.000Z","LatLng(39.48284, -122.06557)","-0.212182752","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2014-01-05T03:52:48.000Z","LatLng(39.48284, -122.06557)","-0.207012362","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2014-01-05T03:53:12.000Z","LatLng(39.48284, -122.06557)","-0.177737883","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2014-01-14T03:46:51.000Z","LatLng(39.48284, -122.06557)","-0.19050558399999998","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2014-01-21T03:52:36.000Z","LatLng(39.48284, -122.06557)","-0.19026399300000002","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2014-01-21T03:53:00.000Z","LatLng(39.48284, -122.06557)","-0.189986303","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2014-02-06T03:52:27.000Z","LatLng(39.48284, -122.06557)","-0.079062962","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2014-02-06T03:52:51.000Z","LatLng(39.48284, -122.06557)","-0.051474067000000005","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2014-02-15T03:46:31.000Z","LatLng(39.48284, -122.06557)","NaN","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2014-02-22T03:52:14.000Z","LatLng(39.48284, -122.06557)","-0.061134472","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
